Team,Manager,Captain,Kit manufacturer,Shirt sponsor (chest),Shirt sponsor (sleeve)
Arsenal,Mikel Arteta,Martin Ødegaard,Adidas,Emirates,Visit Rwanda
Aston Villa,Unai Emery,John McGinn,Castore,BK8,Trade Nation
Bournemouth,Andoni Iraola,Neto,Umbro,Dafabet,DeWalt
Brentford,Thomas Frank,Christian Nørgaard,Umbro,Hollywoodbets,PensionBee
Brighton & Hove Albion,Roberto De Zerbi,Lewis Dunk,Nike,American Express,Snickers UK
Burnley,Vincent Kompany,Jack Cork,Umbro,W88,Uphold
Chelsea,Mauricio Pochettino,Reece James,Nike,Infinite Athlete,BingX
Crystal Palace,Oliver Glasner,Joel Ward,Macron,Cinch,Kaiyun Sports
Everton,Sean Dyche,Séamus Coleman,Hummel,Stake.com,KICK
Fulham,Marco Silva,Tom Cairney,Adidas,SBOTOP,WebBeds
Liverpool,Jürgen Klopp,Virgil van Dijk,Nike,Standard Chartered,Expedia
Luton Town,Rob Edwards,Tom Lockyer,Umbro,Utilita,Free Now
Manchester City,Pep Guardiola,Kyle Walker,Puma,Etihad Airways,OKX
Manchester United,Erik ten Hag,Bruno Fernandes,Adidas,TeamViewer,DXC Technology
Newcastle United,Eddie Howe,Jamaal Lascelles,Castore,Sela,Noon
Nottingham Forest,Nuno Espírito Santo,Ryan Yates,Adidas,Kaiyun Sports,Ideagen
Sheffield United,Chris Wilder,John Egan,Erreà,CFI Financial Group,Gtech
Tottenham Hotspur,Ange Postecoglou,Son Heung-min,Nike,AIA,Cinch
West Ham United,David Moyes,Kurt Zouma,Umbro,Betway,JD Sports
Wolverhampton Wanderers,Gary O'Neil,Max Kilman,Castore,AstroPay,6686 Sports
