election         ,member              ,party
1885             ,James Ellis         ,Liberal
1892             ,Sir Charles McLaren ,Liberal
Dec 1910         ,Henry McLaren       ,Liberal
1922             ,Guy Paget           ,Conservative
1923             ,George Ward         ,Liberal
1924             ,Robert Gee          ,Conservative
1927 by-election ,Sir William Edge    ,Liberal
1931             ,Sir William Edge    ,National Liberal
1945             ,Arthur Allen        ,Labour
1959             ,Woodrow Wyatt       ,Labour
1970             ,Adam Butler         ,Conservative
1987             ,David Tredinnick    ,Conservativ
