query_id,query_size,query_num_token,num_result,duration,preproc_duration,num_set_read,num_list_read,num_byte_read,max_set_size_read,max_list_size_read,max_counter_size,max_ignore_size,actions,results,benefit_cost,lsh_duration,lsh_precision
950730,11,11,10,387,5,0,11,0,0,96162,0,1,,s1954031o11s1950128o11s557613o10s1946379o10s1955783o10s1954520o10s2127934o10s949807o9s950728o9s1346161o9,,0,0
581359,43,43,10,586,2,17,42,0,420,53585,237,18,,s583680o39s581762o37s1800754o36s1800753o34s788565o34s584413o33s2695786o33s580914o33s1490773o33s1490441o32,,0,0
1305182,21,21,10,436,1,0,21,0,0,96162,0,1,,s902520o19s1002443o19s1468244o19s902521o18s434197o18s1158801o18s553879o18s1640976o18s553886o18s635309o18,,0,0
1535529,17,17,10,213,1,0,17,0,0,53585,0,1,,s1771627o16s1332453o16s1556262o16s1552461o16s1552811o16s1553453o16s1554701o16s1552510o16s1552713o16s1823859o15,,0,0
770160,15,15,10,168,1,0,15,0,0,53585,0,1,,s1989664o12s2617057o12s1533539o12s571666o12s2313736o12s1599769o12s2483447o11s2507263o11s1016060o11s2057760o10,,0,0
1341977,12,12,10,244,0,0,12,0,0,53585,0,1,,s1447115o11s741232o11s1866453o11s1632478o11s1988457o11s1006524o11s1194845o11s761670o11s2617336o11s2460095o11,,0,0
576014,33,33,10,572,1,18,33,0,152,53585,8869,231,,s2693214o33s994318o33s1599769o32s2553731o32s740765o32s1489789o31s1805785o31s571048o31s1800753o31s2617057o31,,0,0
894209,5,5,10,426,1,0,5,0,0,96162,0,1,,s999566o4s1988445o4s676131o4s848799o4s894473o4s1985131o4s1994152o4s1229398o3s1826598o3s608599o3,,0,0
591942,42,31,10,320,1,1,25,0,321,96162,5242,2,,s592023o20s592237o17s590296o15s584588o11s591947o10s579922o9s1502504o9s662068o9s2695532o9s653866o9,,0,0
903620,51,48,10,157,2,13,44,0,662,53585,501,14,,s939527o45s633690o44s576751o44s939705o39s954560o30s1021312o29s573954o29s583394o27s571308o27s1224120o27,,0,0
1544130,9,9,10,124,1,0,9,0,0,53585,0,1,,s1544148o9s1544136o9s1544129o9s1544410o8s1544125o8s1544137o8s1544813o8s1543683o8s1543677o8s1544153o8,,0,0
599175,11,11,10,189,1,0,11,0,0,96162,0,1,,s2394675o6s599983o5s585133o5s634285o4s440318o4s584422o4s624719o4s610794o4s610103o4s634284o4,,0,0
1345477,46,41,10,352,1,1,41,0,222,96162,627,2,,s1345480o18s237079o18s584374o17s1555780o16s1710474o9s1086460o8s1443235o8s472186o7s1079716o7s512907o6,,0,0
1150082,9,9,10,459,1,0,9,0,0,96162,0,1,,s50500o8s551625o8s349830o8s31353o8s2152372o8s42240o8s353234o8s10658o8s325661o8s1058956o8,,0,0
578320,35,33,10,184,1,1,28,0,414,96162,92,2,,s2696511o31s579922o19s2696468o16s578019o13s577562o13s2696643o10s2696539o10s580691o9s581652o8s2552948o8,,0,0
756534,16,16,10,327,1,0,16,0,0,96162,0,1,,s813167o9s136049o9s1890731o8s943690o8s2393270o8s912138o8s1723913o8s2441237o8s963878o8s2069713o8,,0,0
1516171,6,6,10,111,1,0,6,0,0,53585,0,1,,s1516181o5s2026911o4s2583586o4s2026921o4s574288o3s1747465o3s1508142o3s2095920o3s2507312o3s2095972o3,,0,0
1307575,5,5,10,236,1,0,5,0,0,96162,0,1,,s2020767o5s2372464o5s1964318o5s1150082o5s1175258o4s1107311o4s494518o4s257103o4s271148o4s394705o4,,0,0
949638,11,11,10,388,1,0,11,0,0,53585,0,1,,s2356520o11s762401o11s1097529o11s2204755o11s921960o11s1116011o11s2266761o11s630393o11s41888o11s949807o11,,0,0
1525994,9,9,10,219,1,0,9,0,0,53585,0,1,,s1261270o9s1261271o9s2226721o8s820718o8s726710o8s1029265o8s1276880o8s994318o8s1008120o8s2291864o8,,0,0
