Country/Territory,UN Region,IMF-Estimate,IMF-Year,World Bank-Estimate,World Bank-Year,CIA-Estimate,CIA-Year
Luxembourg,Europe,"143,304",2023,"142,214",2022,"115,700",2021
Ireland,Europe,"137,638",2023,"126,905",2022,"102,500",2021
Singapore,Asia,"133,108",2023,"127,565",2022,"106,000",2021
Liechtenstein,Europe,,,,,"139,100",2009
Qatar,Asia,"114,210",2023,"114,648",2022,"92,200",2021
Monaco,Europe,,,,,"115,700",2015
Macau,Asia,"98,157",2023,"55,344",2022,"64,800",2021
Switzerland,Europe,"89,537",2023,"83,598",2022,"71,000",2021
United Arab Emirates,Asia,"88,962",2023,"87,729",2022,"69,700",2021
Bermuda,Americas,,,"95,837",2022,"80,300",2021
Isle of Man,Europe,,,,,"84,600",2014
San Marino,Europe,"84,135",2023,"59,451",2020,"56,400",2020
Norway,Europe,"82,236",2023,"114,899",2022,"65,700",2021
United States,Americas,"80,412",2023,"76,399",2022,"63,700",2021
Denmark,Europe,"74,958",2023,"74,005",2022,"58,000",2021
Netherlands,Europe,"73,317",2023,"69,577",2022,"56,600",2021
Hong Kong,Asia,"72,861",2023,"69,049",2022,"60,000",2021
Brunei,Asia,"72,610",2023,"69,275",2022,"60,100",2021
Cayman Islands,Americas,,,"74,155",2021,"67,500",2021
Taiwan,Asia,"72,485",2023,,,"50,500",2017
Falkland Islands,Americas,,,,,"70,800",2015
Iceland,Europe,"69,833",2023,"69,081",2022,"53,600",2020
Austria,Europe,"69,069",2023,"67,936",2022,"54,100",2021
Saudi Arabia,Asia,"68,453",2023,"59,065",2022,"44,300",2021
Andorra,Europe,"68,232",2023,,,"49,900",2015
Sweden,Europe,"66,209",2023,"64,578",2022,"53,600",2021
Germany,Europe,"66,038",2023,"63,150",2022,"53,100",2021
Belgium,Europe,"65,813",2023,"65,027",2022,"51,700",2021
Australia,Oceania,"64,675",2023,"62,625",2022,"49,800",2021
Malta,Europe,"63,481",2023,"55,928",2022,"44,700",2021
Gibraltar,Europe,,,,,"61,700",2014
Guyana,Americas,"61,099",2023,"40,642",2022,"21,900",2021
Bahrain,Asia,"60,715",2023,"61,228",2022,"49,400",2021
Finland,Europe,"59,869",2023,"59,027",2022,"48,800",2021
Canada,Americas,"59,813",2023,"58,400",2022,"47,900",2021
France,Europe,"58,765",2023,"55,493",2022,"45,000",2021
European Union,Europe,"56,970",2023,"54,249",2022,"44,436",2019
United Kingdom,Europe,"56,836",2023,"54,603",2022,"45,000",2021
South Korea,Asia,"56,709",2023,"50,070",2022,"44,200",2021
Jersey,Europe,,,,,"56,600",2016
Israel,Asia,"54,771",2023,"49,509",2022,"42,100",2021
Italy,Europe,"54,259",2023,"51,865",2022,"41,900",2021
Cyprus,Asia,"53,931",2023,"49,931",2022,"41,700",2021
New Zealand,Oceania,"53,809",2023,"51,967",2022,"42,900",2021
Japan,Asia,"52,120",2023,"45,573",2022,"40,800",2021
Kuwait,Asia,"51,765",2023,"58,056",2022,"43,900",2020
Slovenia,Europe,"51,407",2023,"50,032",2022,"40,000",2021
Aruba,Americas,"51,352",2023,"42,698",2021,"38,900",2021
Guernsey,Europe,,,,,"52,500",2014
Spain,Europe,"50,472",2023,"45,825",2022,"37,900",2021
Lithuania,Europe,"49,245",2023,"48,397",2022,"39,300",2021
Czech Republic,Europe,"49,025",2023,"49,946",2022,"40,700",2020
Poland,Europe,"45,538",2023,"43,269",2022,"34,900",2021
Estonia,Europe,"45,236",2023,"46,697",2022,"38,700",2021
Saint Pierre and Miquelon,Americas,,,,,"46,200",2006
Portugal,Europe,"45,227",2023,"41,452",2022,"33,700",2021
Bahamas,Americas,"44,950",2023,"40,379",2022,"30,200",2021
Hungary,Europe,"43,601",2023,"41,907",2022,"33,600",2021
Croatia,Europe,"42,873",2023,"40,380",2022,"31,600",2021
Panama,Americas,"42,738",2023,"39,280",2022,"29,000",2021
Slovakia,Europe,"42,228",2023,"37,459",2022,"31,900",2021
Turkey,Asia,"41,888",2023,"37,274",2022,"31,500",2021
Seychelles,Africa,"41,829",2023,"35,228",2022,"28,800",2021
Puerto Rico,Americas,"41,682",2023,"40,498",2022,"32,600",2021
Romania,Europe,"41,029",2023,"41,888",2022,"30,800",2021
Latvia,Europe,"40,892",2023,"39,956",2022,"32,100",2021
Greece,Europe,"39,864",2023,"36,835",2022,"29,500",2021
Oman,Asia,"39,336",2023,"41,724",2022,"34,300",2021
Greenland,Americas,,,,,"41,800",2015
Faroe Islands,Europe,,,,,"40,000",2014
U.S. Virgin Islands,Americas,,,,,"37,000",2016
Maldives,Asia,"37,094",2023,"24,772",2022,"18,800",2021
Malaysia,Asia,"37,083",2023,"33,434",2022,"26,300",2021
Sint Maarten (Dutch part),Americas,,,"41,812",2022,"35,300",2018
Guam,Oceania,,,,,"35,600",2016
Russia,Europe,"35,310",2023,"36,485",2022,"28,000",2021
British Virgin Islands,Americas,,,,,"34,200",2017
Montserrat,Americas,,,,,"34,000",2011
Bulgaria,Europe,"33,780",2023,"33,582",2022,"24,400",2020
Kazakhstan,Asia,"32,712",2023,"30,810",2022,"26,100",2021
Trinidad and Tobago,Americas,"30,719",2023,"27,778",2022,"23,000",2021
New Caledonia,Oceania,,,,,"31,100",2015
Chile,Americas,"29,935",2023,"30,209",2022,"25,400",2021
Saint Kitts and Nevis,Americas,"29,893",2023,"34,052",2022,"26,500",2021
Mauritius,Africa,"29,349",2023,"26,906",2022,"21,000",2021
Uruguay,Americas,"28,984",2023,"28,842",2022,"22,800",2021
Montenegro,Europe,"28,002",2023,"26,984",2022,"20,600",2021
Costa Rica,Americas,"26,809",2023,"24,923",2022,"21,200",2021
Argentina,Americas,"26,506",2023,"26,505",2022,"21,500",2021
Serbia,Europe,"26,074",2023,"23,911",2022,"19,800",2021
Dominican Republic,Americas,"25,523",2023,"22,834",2022,"18,600",2021
Antigua and Barbuda,Americas,"25,449",2023,"25,337",2022,"19,100",2021
Mexico,Americas,"24,976",2023,"21,512",2022,"19,100",2021
Libya,Africa,"24,382",2023,"23,375",2022,"22,000",2021
Northern Mariana Islands,Oceania,,,,,"24,500",2016
Belarus,Europe,"24,017",2023,"22,591",2022,"19,800",2021
China,Asia,"23,309",2023,"21,476",2022,"17,600",2021
Curaçao,Americas,,,"22,832",2021,"20,800",2021
Thailand,Asia,"22,491",2023,"20,672",2022,"17,100",2021
World,World,"22,226",2023,"20,645",2022,"17,500",2017
Georgia,Asia,"22,357",2023,"20,113",2022,"15,500",2021
North Macedonia,Europe,"21,391",2023,"20,162",2022,"16,500",2021
Turks and Caicos Islands,Americas,,,"22,915",2022,"18,500",2021
Grenada,Americas,"20,195",2023,"16,987",2022,"13,700",2021
Brazil,Americas,"20,079",2023,"17,822",2022,"14,100",2020
Iran,Asia,"19,942",2023,"18,075",2022,"12,400",2020
Turkmenistan,Asia,"19,939",2023,"15,625",2019,"15,000",2019
Armenia,Asia,"19,745",2023,"18,942",2022,"14,200",2021
Bosnia and Herzegovina,Europe,"19,634",2023,"20,377",2022,"15,700",2021
Albania,Europe,"19,566",2023,"18,552",2022,"14,500",2021
Colombia,Americas,"19,482",2023,"20,287",2022,"14,600",2021
