"Rank
(England only)",Stadium,Town / City,Capacity,Team,League,Image
1,Wembley Stadium,"Wembley, London","90,000","England (Men's, women's and youth)",,
2,Old Trafford,"Old Trafford, Greater Manchester","74,031",Manchester United,Premier League,
3,Tottenham Hotspur Stadium,"Tottenham, London","62,850",Tottenham Hotspur,Premier League,
4,London Stadium,"Stratford, London","62,500",West Ham United,Premier League,
5,Anfield,"Anfield, Liverpool","61,276",Liverpool,Premier League,
6,Emirates Stadium,"Holloway, London","60,704",Arsenal,Premier League,
7,City of Manchester Stadium,"Bradford, Manchester","53,400",Manchester City,Premier League,
8,St James' Park,Newcastle upon Tyne,"52,257",Newcastle United,Premier League,
9,Stadium of Light,"Monkwearmouth, Sunderland","48,095",Sunderland,EFL Championship,
10,Villa Park,"Aston, Birmingham","42,530",Aston Villa,Premier League,
11,Stamford Bridge,"Fulham, London","40,173",Chelsea,Premier League,
12,Goodison Park,"Walton, Liverpool","39,414",Everton,Premier League,
13,Elland Road,"Beeston, Leeds","37,608",Leeds United,EFL Championship,
14,Hillsborough,"Owlerton, Sheffield","34,945",Sheffield Wednesday,EFL Championship,
15,Riverside Stadium,Middlesbrough,"33,931",Middlesbrough,EFL Championship,
,Cardiff City Stadium,"Leckwith, Cardiff","33,280",Cardiff City,EFL Championship,
16,Pride Park,Derby,"32,956",Derby County,EFL League One,
17,Coventry Building Society Arena,Coventry,"32,609",Coventry City,EFL Championship,
18,St Mary's Stadium,Southampton,"32,384",Southampton,EFL Championship,
19,King Power Stadium,Leicester,"32,262",Leicester City,EFL Championship,
20,Bramall Lane,Sheffield,"32,050",Sheffield United,Premier League,
20,Bramall Lane,Sheffield,"32,050",Sheffield United W.F.C.,Women's Championship,
21,Falmer Stadium,"Falmer, Brighton & Hove","31,876",Brighton & Hove Albion,Premier League,
22,Molineux,Wolverhampton,"31,750",Wolverhampton Wanderers,Premier League,
23,Ewood Park,Blackburn,"31,363",Blackburn Rovers,EFL Championship,
24,City Ground,West Bridgford,"30,404",Nottingham Forest,Premier League,
25,Stadium MK,"Denbigh, Milton Keynes","30,303",Milton Keynes Dons,EFL League Two,
26,bet365 Stadium,Stoke-on-Trent,"30,089",Stoke City,EFL Championship,
27,Portman Road,Ipswich,"29,673",Ipswich Town,EFL Championship,
28,St Andrew's,"Bordesley, Birmingham","29,409",Birmingham City,EFL Championship,
28,St Andrew's,"Bordesley, Birmingham","29,409",Birmingham City Ladies,Women's Championship,
29,Toughsheet Community Stadium,"Horwich, Bolton","28,018",Bolton Wanderers,EFL League One,
30,Carrow Road,Norwich,"27,359",Norwich City,EFL Championship,
31,The Valley,"Charlton, London","27,111",Charlton Athletic,EFL League One,
32,The Hawthorns,West Bromwich,"26,688",West Bromwich Albion,EFL Championship,
33,Ashton Gate Stadium,Bristol,"26,459",Bristol City,EFL Championship,
34,MKM Stadium,Hull,"25,586",Hull City,EFL Championship,
34,MKM Stadium,Hull,"25,586",Hull F.C. (rugby),Super League,
35,Selhurst Park,"Selhurst, London","25,486",Crystal Palace,Premier League,
36,DW Stadium,Wigan,"25,133",Wigan Athletic,EFL League One,
36,DW Stadium,Wigan,"25,133",Wigan Warriors (rugby),Super League,
37,Valley Parade,Bradford,"24,433",Bradford City,EFL League Two,
38,Madejski Stadium,Reading,"24,376",Reading,EFL League One,
38,Madejski Stadium,Reading,"24,376",Reading Women,Women's Championship,
39,Kirklees Stadium,Huddersfield,"24,329",Huddersfield Town,EFL Championship,
39,Kirklees Stadium,Huddersfield,"24,329",Huddersfield Giants (rugby),Super League,
40,Deepdale,Preston,"23,404",Preston North End,EFL Championship,
41,Oakwell,Barnsley,"23,287",Barnsley,EFL League One,
42,Craven Cottage,"Fulham, London","22,384",Fulham,Premier League,
43,Vicarage Road,Watford,"22,200",Watford,EFL Championship,
44,Turf Moor,Burnley,"21,744",Burnley,Premier League,
,Liberty Stadium,"Landore, Swansea","20,996",Swansea City,EFL Championship,
45,Meadow Lane,Nottingham,"19,841",Notts County,EFL League Two,
46,The Den,"Bermondsey, London","19,369",Millwall,EFL Championship,
47,Fratton Park,"Milton, Portsmouth","19,165",Portsmouth,EFL League One,
48,Loftus Road,"White City, London","18,193",Queens Park Rangers,EFL Championship,
49,Home Park,Plymouth,"17,904",Plymouth Argyle,EFL Championship,
50,Brentford Community Stadium,"Brentford, London","17,250",Brentford,Premier League,
50,Brentford Community Stadium,"Brentford, London","17,250",London Irish (rugby),Premiership Rugby,
51,Brunton Park,Carlisle,"17,030",Carlisle United,EFL League One,
52,Bloomfield Road,Blackpool,"16,616",Blackpool,EFL League One,
53,County Ground,Swindon,"15,547",Swindon Town,EFL League Two,
54,Keepmoat Stadium,Doncaster,"15,148",Doncaster Rovers,EFL League Two,
55,Vale Park,"Burslem, Stoke-on-Trent","15,036",Port Vale,EFL League One,
56,Prenton Park,Birkenhead,"15,012",Tranmere Rovers,EFL League Two,
56,Prenton Park,Birkenhead,"15,012",Liverpool Women,Women's Super League,
57,London Road,Peterborough,"13,513",Peterborough United,EFL League One,
58,Boundary Park,Oldham,"13,513",Oldham Athletic,National League,
59,Kassam Stadium,"Littlemore, Oxford","12,537",Oxford United,EFL League One,
60,Roots Hall,Southend,"12,392",Southend United,National League,
61,New York Stadium,Rotherham,"12,088",Rotherham United,EFL Championship,
62,Leigh Sports Village,Leigh,"12,000",Manchester United Women,Women's Super League,
63,Gateshead International Stadium,Gateshead,"11,800",Gateshead,National League,
64,Gigg Lane,Bury,"11,640",Bury,North West Counties Football League Premier Division,
65,Priestfield Stadium,Gillingham,"11,582",Gillingham,EFL League Two,
66,Dean Court,"Kings Park, Bournemouth","11,307",AFC Bournemouth,Premier League,
67,Bescot Stadium,"Bescot, Walsall","10,863",Walsall,EFL League Two,
67,Bescot Stadium,"Bescot, Walsall","10,863",Aston Villa Women,Women's Super League,
68,Edgeley Park,"Edgeley, Stockport","10,800",Stockport County,EFL League Two,
69,Sincil Bank,Lincoln,"10,780",Lincoln City,EFL League One,
70,The Shay,Halifax,"10,561",FC Halifax Town,National League,
70,The Shay,Halifax,"10,561",Halifax (rugby),RFL Championship,
,Racecourse Ground,Wrexham,"10,500",Wrexham,EFL League Two,
71,Technique Stadium,Chesterfield,"10,400",Chesterfield,National League,
72,Kenilworth Road,Luton,"10,265",Luton Town,Premier League,
73,Gresty Road,Crewe,"10,109",Crewe Alexandra,EFL League Two,
74,Colchester Community Stadium,Colchester,"10,105",Colchester United,EFL League Two,
75,New Meadow,Shrewsbury,"9,875",Shrewsbury Town,EFL League One,
76,Memorial Stadium,"Horfield, Bristol","9,834",Bristol Rovers,EFL League One,
77,Huish Park,Yeovil,"9,665",Yeovil Town,National League South,
78,Adams Park,Wycombe,"9,558",Wycombe Wanderers,EFL League One,
79,Spotland,Rochdale,"9,507",Rochdale,National League,
79,Spotland,Rochdale,"9,507",Rochdale Hornets (rugby),RFL League 1,
80,Field Mill,Mansfield,"9,376",Mansfield Town,EFL League Two,
81,Brisbane Road,"Leyton, London","9,253",Leyton Orient,EFL League One,
81,Brisbane Road,"Leyton, London","9,253",Tottenham Hotspur Women,Women's Super League,
82,Glanford Park,Scunthorpe,"9,183",Scunthorpe United,National League North,
83,Plough Lane,"Wimbledon, London","9,150",AFC Wimbledon,EFL League Two,
84,Blundell Park,Cleethorpes,"9,031",Grimsby Town,EFL League Two,
85,Twerton Park,"Twerton, Bath","8,880",Bath City,National League South,
,Rodney Parade,Newport,"8,722",Newport County,EFL League Two,
86,St James Park,Exeter,"8,714",Exeter City,EFL League One,
87,York Community Stadium,"Huntington, York","8,500",York City,National League,
87,York Community Stadium,"Huntington, York","8,500",York Knights (rugby),RFL Championship,
88,The Walks,King's Lynn,"8,200",King's Lynn Town,National League,
89,Abbey Stadium,Cambridge,"8,024",Cambridge United,EFL League One,
90,Victoria Park,Hartlepool,"7,833",Hartlepool United,National League,
91,Sixfields Stadium,Northampton,"7,798",Northampton Town,EFL League One,
92,Broadhall Way,Stevenage,"7,426",Stevenage,EFL League One,
93,Recreation Ground,Aldershot,"7,100",Aldershot Town,National League,
94,Pirelli Stadium,Burton-upon-Trent,"7,088",Burton Albion,EFL League One,
95,Academy Stadium,Manchester,"7,000",Manchester City Women's F.C.,Women's Super League,
96,Whaddon Road,Cheltenham,"6,923",Cheltenham Town,EFL League One,
97,York Street,Boston,"6,643",Boston United,National League,
98,Holker Street,Barrow-in-Furness,"6,500",Barrow,EFL League Two,
99,Plainmoor,Torquay,"6,500",Torquay United,National League South,
100,Bower Fold,Stalybridge,"6,500",Stalybridge Celtic,Northern Premier League Division One West,
101,Moss Rose,Macclesfield,"6,335",Macclesfield F.C.,Northern Premier League Premier Division,
102,New Bucks Head,Telford,"6,300",AFC Telford United,National League,
103,Globe Arena,Morecambe,"6,241",Morecambe,EFL League Two,
104,Aggborough,Kidderminster,"6,238",Kidderminster Harriers,National League,
105,Moss Lane,Altrincham,"6,085",Altrincham,National League,
106,Victoria Road,"Dagenham, London","6,078",Dagenham & Redbridge,National League,
106,Victoria Road,"Dagenham, London","6,078",West Ham Women,Women's Super League,
107,Keys Park,"Cannock, Hednesford","6,039",Hednesford Town,Northern Premier League Division One West,
108,Haig Avenue,"Blowick, Southport","6,008",Southport,National League,
109,Kingfield Stadium,Woking,"6,000",Woking,National League,
110,Mill Farm,Wesham,"6,000",AFC Fylde,National League,
111,The Camrose,Basingstoke,"6,000",Basingstoke Town,Southern Football League South Division,
112,Cherrywood Road,Farnborough,"6,000",Farnborough,National League South,
113,Broadfield Stadium,Crawley,"5,907",Crawley Town,EFL League Two,
113,Broadfield Stadium,Crawley,"5,907",Brighton & Hove Albion Women,Women's Super League,
114,Crabble Athletic Ground,Dover,"5,745",Dover Athletic,National League South,
115,Damson Park,Solihull,"5,500",Solihull Moors,National League,
116,Crown Ground,Accrington,"5,278",Accrington Stanley,EFL League Two,
117,Westleigh Park,Havant,"5,250",Havant & Waterlooville,National League South,
118,The Hive Stadium,"Canons Park, London","5,233",Barnet,National League,
119,Ten Acres,Eastleigh,"5,250",Eastleigh,National League,
120,Highbury Stadium,Fleetwood,"5,137",Fleetwood Town,EFL League One,
121,Deva Stadium,Chester,"5,126",Chester,National League North,
122,Gander Green Lane,"Sutton, London","5,049",Sutton United,EFL League Two,
123,Moor Lane,"Kersal, Salford","5,032",Salford City,EFL League Two,
124,Wetherby Road,Harrogate,"5,021",Harrogate Town,EFL League Two,
125,Hayes Lane,"Bromley, London","5,300",Bromley,National League,
125,Hayes Lane,"Bromley, London","5,300",Crystal Palace Women,Women's Championship,
126,Stonebridge Road,"Northfleet, Gravesend","5,011",Ebbsfleet United,National League,
127,The New Lawn,Nailsworth,"5,009",Forest Green Rovers,EFL League Two,
